ts_code,name,coverage_count,recent_30d_count,latest_report_date,positive_pct,negative_pct,neutral_pct,recent_positive_pct,rating_trend,eps_y1_mean,eps_y1_std,eps_y1_year,pe_y1_mean,tp_mean,tp_count,tp_change,tp_change_pct,tp_raised_count,tp_cut_count
000876.SZ,新希望,5,2,2026-05-08,60.0,0.0,40.0,50.0,降级,0.14,0.06,2025.0,78.3,10.15,4,-2.47,-21.9,0,1
000860.SZ,顺鑫农业,5,0,2025-05-14,100.0,0.0,0.0,,数据不足,0.3,0.06,2025.0,55.9,19.1,4,-4.62,-21.4,0,0
000858.SZ,五粮液,5,5,2026-05-10,100.0,0.0,0.0,100.0,数据不足,4.41,0.61,2026.0,21.4,101.5,1,,,0,0
000807.SZ,云铝股份,5,5,2026-05-08,100.0,0.0,0.0,100.0,数据不足,3.91,0.23,2026.0,8.3,39.7,1,,,0,0
000800.SZ,一汽解放,5,2,2026-05-08,60.0,0.0,40.0,50.0,降级,0.26,0.09,2026.0,29.4,9.16,5,-1.01,-10.5,0,1
000792.SZ,盐湖股份,5,2,2026-05-15,100.0,0.0,0.0,100.0,稳定,2.39,0.34,2026.0,16.0,45.0,1,,,0,0
000786.SZ,北新建材,5,5,2026-05-15,100.0,0.0,0.0,100.0,数据不足,1.83,0.46,2026.0,13.2,34.0,1,,,0,0
000776.SZ,广发证券,5,5,2026-05-08,80.0,0.0,20.0,80.0,数据不足,2.17,0.21,2026.0,9.4,26.16,2,-3.68,-13.1,0,0
000768.SZ,中航西飞,5,2,2026-05-08,100.0,0.0,0.0,100.0,稳定,0.45,0.01,2026.0,54.3,29.64,1,,,0,0
002773.SZ,康弘药业,5,0,2025-05-03,80.0,0.0,20.0,,数据不足,1.38,0.07,2024.0,15.2,,0,,,0,0
688981.SH,中芯国际,5,0,2026-04-12,80.0,0.0,20.0,,数据不足,0.67,0.1,2025.0,171.2,160.0,2,-20.0,-11.8,0,0
002812.SZ,恩捷股份,5,5,2026-05-07,100.0,0.0,0.0,100.0,数据不足,2.27,0.11,2026.0,34.8,,0,,,0,0
600018.SH,上港集团,5,0,2026-04-02,80.0,0.0,20.0,,数据不足,0.64,0.03,2025.0,8.8,6.75,5,-0.43,-6.2,1,1
