anchor,label,target_krw,underlying_return,leveraged_return_before_costs,holding_days,decay_rate,premium_discount_rate,fee_drag,tracking_drag,product_return,projected_price
consensus_avg,Consensus average,1771866.34,-0.05751790425531911,-0.11503580851063822,30,0.06,0.0,0.001643835616438356,-0.0001232876712328767,-0.17680293179830944,82.31970682016906
consensus_avg,Consensus average,1771866.34,-0.05751790425531911,-0.11503580851063822,30,0.0,-0.03,0.001643835616438356,-0.0001232876712328767,-0.14680293179830944,85.31970682016905
consensus_avg,Consensus average,1771866.34,-0.05751790425531911,-0.11503580851063822,30,0.03,0.0,0.001643835616438356,-0.0001232876712328767,-0.14680293179830944,85.31970682016905
consensus_avg,Consensus average,1771866.34,-0.05751790425531911,-0.11503580851063822,30,0.06,0.03,0.001643835616438356,-0.0001232876712328767,-0.14680293179830944,85.31970682016905
consensus_avg,Consensus average,1771866.34,-0.05751790425531911,-0.11503580851063822,30,0.0,0.0,0.001643835616438356,-0.0001232876712328767,-0.11680293179830945,88.31970682016905
consensus_avg,Consensus average,1771866.34,-0.05751790425531911,-0.11503580851063822,30,0.03,0.03,0.001643835616438356,-0.0001232876712328767,-0.11680293179830945,88.31970682016905
consensus_avg,Consensus average,1771866.34,-0.05751790425531911,-0.11503580851063822,30,0.0,0.03,0.001643835616438356,-0.0001232876712328767,-0.08680293179830945,91.31970682016906
goldman_base,Goldman old target,1350000.0,-0.28191489361702127,-0.5638297872340425,30,0.1,-0.03,0.001643835616438356,-0.0001232876712328767,-0.6955969105217138,30.44030894782862
goldman_base,Goldman old target,1350000.0,-0.28191489361702127,-0.5638297872340425,30,0.1,0.0,0.001643835616438356,-0.0001232876712328767,-0.6655969105217138,33.440308947828626
goldman_base,Goldman old target,1350000.0,-0.28191489361702127,-0.5638297872340425,30,0.06,-0.03,0.001643835616438356,-0.0001232876712328767,-0.6555969105217139,34.44030894782861
